;Tweets;Followers;Following;Followers ratio;Listed;Replies/100derniers;Tweets with @mentions/100derniers;Tweets with #hashtags/100derniers;Retweets/100;Tweets with links/100derniers;Tweets with media/100derniers;Mot prefere;twitter;date_scrap;nom;DEPSIR
98;577.0;1266.0;539.0;2.35;58.0;0.0;73.0;43.0;69.0;29.0;7.0;matin;jp_mattei;01/01/2022;Jean-Paul Mattei;6402
99;513.0;1268.0;406.0;3.12;55.0;3.0;98.0;42.0;91.0;12.0;4.0;dput;naegelenchris;01/01/2022;Christophe Naegelen;8803
100;862.0;4191.0;934.0;4.49;113.0;0.0;53.0;29.0;28.0;68.0;6.0;jai;michelecrouzet;01/01/2022;Michèle Crouzet;8903
101;6386.0;12010.0;4377.0;2.74;307.0;1.0;54.0;19.0;45.0;51.0;7.0;minute;VigierPhilippe;01/01/2022;Philippe Vigier;2804
102;2031.0;3864.0;634.0;6.09;124.0;13.0;76.0;49.0;46.0;49.0;6.0;cest;MaudPetit_AN94;01/01/2022;Maud Petit;9404
103;15547.0;13013.0;544.0;23.92;191.0;0.0;69.0;20.0;46.0;45.0;9.0;franais;phdumont;01/01/2022;Pierre-Henri Dumont;6207
104;9704.0;8941.0;3182.0;2.81;240.0;2.0;75.0;34.0;57.0;46.0;6.0;prsident;mickaelnogal;01/01/2022;Mickaël Nogal;3104
105;411.0;1719.0;180.0;9.55;75.0;5.0;93.0;27.0;84.0;12.0;3.0;franais;JJ_Gaultier;01/01/2022;Jean-Jacques Gaultier;8804
106;5279.0;12461.0;3852.0;3.23;208.0;12.0;60.0;18.0;42.0;39.0;18.0;france;F_BACHELIER;01/01/2022;Florian Bachelier;3508
107;12621.0;6160.0;2071.0;2.97;166.0;28.0;78.0;11.0;36.0;55.0;8.0;plus;BrunoMillienne;01/01/2022;Bruno Millienne;7809
108;5399.0;4592.0;1307.0;3.51;122.0;0.0;31.0;70.0;26.0;75.0;2.0;dfense;PhilippeMichelK;01/01/2022;Philippe Michel-Kleisbauer;8305
109;13196.0;7616.0;1292.0;5.89;183.0;18.0;63.0;21.0;32.0;51.0;6.0;cest;juliendive;01/01/2022;Julien Dive;0202
110;2070.0;2140.0;2181.0;0.98;66.0;16.0;95.0;20.0;78.0;13.0;7.0;cest;lejeune_ch;01/01/2022;Christophe Lejeune;7002
111;1477.0;5124.0;910.0;5.63;145.0;16.0;57.0;24.0;26.0;59.0;3.0;plus;hsaulignac;01/01/2022;Hervé Saulignac;0701
112;1738.0;3270.0;1468.0;2.23;126.0;1.0;54.0;32.0;38.0;51.0;11.0;rgion;N_Forissier;01/01/2022;Nicolas Forissier;3602
113;1476.0;3458.0;839.0;4.12;98.0;2.0;68.0;56.0;56.0;40.0;3.0;plus;HeleneZannier;01/01/2022;Hélène Zannier;5707
114;2597.0;4887.0;1603.0;3.05;118.0;1.0;50.0;29.0;32.0;67.0;1.0;journe;GrazieMelchior;01/01/2022;Graziella Melchior;2905
115;2717.0;5417.0;2866.0;1.89;107.0;2.0;55.0;36.0;26.0;75.0;7.0;notamment;A_Ardisson;01/01/2022;Alexandra Valetta Ardisson;0604
116;765.0;1933.0;176.0;10.98;108.0;4.0;74.0;51.0;53.0;48.0;2.0;plus;BDeflesselles;01/01/2022;Bernard Deflesselles;1309
117;3038.0;7457.0;1398.0;5.33;166.0;1.0;47.0;45.0;6.0;92.0;2.0;jai;saidahamada;01/01/2022;Saïd Ahamada;1307
118;7699.0;3844.0;1537.0;2.5;158.0;9.0;78.0;14.0;49.0;49.0;2.0;plus;KhattabiF;01/01/2022;Fadila Khattabi;2103
119;4077.0;9938.0;2255.0;4.41;247.0;2.0;81.0;54.0;56.0;43.0;3.0;europenne;potierdominique;01/01/2022;Dominique Potier;5405
120;24641.0;14679.0;1801.0;8.15;349.0;1.0;83.0;49.0;69.0;32.0;2.0;france;Brigitte_Kuster;01/01/2022;Brigitte Kuster;7504
121;1214.0;2202.0;242.0;9.1;83.0;3.0;80.0;33.0;73.0;24.0;8.0;plus;isavalentin43;01/01/2022;Isabelle Valentin;4301
122;2543.0;4966.0;843.0;5.89;104.0;1.0;67.0;35.0;47.0;45.0;9.0;cest;lauzzanamichel;01/01/2022;Michel Lauzzana;4701
123;2412.0;5326.0;1281.0;4.16;125.0;2.0;76.0;39.0;62.0;41.0;9.0;cest;Chalumeau_P;01/01/2022;Philippe Chalumeau;3701
124;5641.0;62652.0;1344.0;46.62;422.0;4.0;49.0;15.0;28.0;61.0;15.0;cest;StanGuerini;01/01/2022;Stanislas Guerini;7503
125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;B_Peyrol;0;Bénédicte Peyrol;0303
126;289.0;1345.0;391.0;3.44;51.0;7.0;66.0;60.0;43.0;47.0;3.0;sant;JCGrelier;01/01/2022;Jean-Carles Grelier;7205
127;6413.0;6346.0;603.0;10.52;171.0;5.0;67.0;46.0;42.0;49.0;10.0;cest;jrcazeneuve;01/01/2022;Jean-René Cazeneuve;3201
128;2630.0;7268.0;697.0;10.43;180.0;3.0;17.0;70.0;10.0;81.0;8.0;aujourdhui;mressiguier;01/01/2022;Muriel Ressiguier;3402
129;5097.0;66382.0;447.0;148.51;625.0;2.0;27.0;42.0;14.0;81.0;10.0;rencontre;jeanlassalle;01/01/2022;Jean Lassalle;6404
130;2033.0;6041.0;1027.0;5.88;124.0;2.0;75.0;20.0;61.0;40.0;4.0;cette;sereineenmarche;01/01/2022;Sereine Mauborgne;8304
131;1111.0;3929.0;1215.0;3.23;116.0;1.0;33.0;20.0;6.0;79.0;15.0;matin;b_belhaddad;01/01/2022;Belkhir Belhaddad;5701
132;423.0;3328.0;654.0;5.09;110.0;15.0;55.0;7.0;23.0;68.0;3.0;guyane;LenaickADAM;01/01/2022;Lénaïck Adam;097302
133;1925.0;5304.0;844.0;6.28;136.0;2.0;59.0;26.0;44.0;50.0;8.0;plus;pereaalain;01/01/2022;Alain Perea;1102
134;4171.0;6674.0;1399.0;4.77;153.0;2.0;47.0;33.0;22.0;74.0;8.0;merci;SKerbarh;01/01/2022;Stéphanie Kerbarh;7609
135;2396.0;3302.0;552.0;5.98;182.0;5.0;99.0;27.0;95.0;13.0;5.0;cest;GerardCherpion;01/01/2022;Gérard Cherpion;8802
136;2548.0;9458.0;415.0;22.79;228.0;3.0;62.0;31.0;40.0;51.0;3.0;cette;guyteissier;01/01/2022;Guy Teissier;1306
137;2728.0;5259.0;950.0;5.54;122.0;0.0;66.0;47.0;33.0;66.0;1.0;aujourdhui;jmarilossian;01/01/2022;Jacques Marilossian;9207
138;444.0;2008.0;1242.0;1.62;90.0;6.0;45.0;34.0;21.0;50.0;19.0;permanence;JMaquetDeputee;01/01/2022;Jacqueline Maquet;6202
139;142.0;1400.0;176.0;7.95;72.0;0.0;72.0;21.0;67.0;23.0;31.0;ferrara;jjferrarafb;01/01/2022;Jean-Jacques Ferrara;2A01
140;831.0;2925.0;795.0;3.68;106.0;1.0;36.0;30.0;10.0;89.0;2.0;toulouse;jfportarrieu;01/01/2022;Jean-François Portarrieu;3105
141;8848.0;13086.0;2988.0;4.38;188.0;4.0;77.0;20.0;41.0;57.0;4.0;cest;robinreda;01/01/2022;Robin Reda;9107
142;10851.0;5960.0;1082.0;5.51;91.0;13.0;93.0;40.0;78.0;9.0;2.0;merci;LaurenceVanceu;01/01/2022;Laurence Vanceunebrock;0302
143;5347.0;22386.0;3343.0;6.7;217.0;2.0;57.0;34.0;47.0;51.0;7.0;depuis;marielebec78;01/01/2022;Marie Lebec;7804
144;11116.0;8500.0;2267.0;3.75;140.0;10.0;65.0;17.0;42.0;51.0;7.0;cest;ValeriePetit_AN;01/01/2022;Valérie Petit;5909
145;1440.0;1891.0;390.0;4.85;40.0;4.0;48.0;19.0;40.0;40.0;17.0;sanitaire;Joseevrard62;01/01/2022;José Evrard;6203
146;5083.0;34374.0;400.0;85.94;275.0;7.0;61.0;27.0;32.0;67.0;4.0;cest;CarolineFiat54;01/01/2022;Caroline Fiat;5406
147;2848.0;3244.0;2381.0;1.36;123.0;0.0;20.0;19.0;10.0;84.0;8.0;matin;MarcDelatte;01/01/2022;Marc Delatte;0204
148;4119.0;6246.0;2275.0;2.75;107.0;2.0;57.0;45.0;42.0;58.0;4.0;loi;olivierdam1;01/01/2022;Olivier Damaisin;4703
149;4285.0;34131.0;1735.0;19.67;338.0;1.0;62.0;12.0;55.0;44.0;5.0;cryptoactifs;pierr_person;01/01/2022;Pierre Person;7506
150;1074.0;6893.0;150.0;45.95;97.0;1.0;79.0;29.0;66.0;38.0;1.0;commission;JLBourlanges;01/01/2022;Jean-Louis Bourlanges;9212
151;1850.0;6398.0;181.0;35.35;179.0;5.0;57.0;15.0;42.0;37.0;6.0;jai;doorjean;01/01/2022;Jean-Pierre Door;4504
152;3784.0;3521.0;1118.0;3.15;184.0;1.0;87.0;49.0;78.0;21.0;12.0;france;ThierryBenoit35;01/01/2022;Thierry Benoit;3506
153;2986.0;6221.0;612.0;10.17;115.0;3.0;59.0;44.0;46.0;53.0;1.0;soir;Vidal7602;01/01/2022;Annie Vidal;7602
