nom;amendements_adoptes;amendements_proposes;amendements_signes;commission_interventions;commission_presences;hemicycle_interventions;hemicycle_interventions_courtes;propositions_ecrites;propositions_signees;questions_ecrites;questions_orales;rapports;semaines_presence;mois;annee;DEPSIR
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2019;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2019;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2019;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2019;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2019;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2019;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2019;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2019;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2019;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2020;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2020;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2020;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2020;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2020;5907
Valérie Six;1;0;57;0;3;3;1;0;0;1;1;0;2;6;2020;5907
Valérie Six;2;4;36;0;4;10;0;0;5;0;1;0;5;7;2020;5907
Valérie Six;0;0;0;0;0;0;0;0;1;2;0;0;0;8;2020;5907
Valérie Six;4;20;118;0;12;10;0;0;6;0;1;0;5;9;2020;5907
Valérie Six;13;66;468;0;0;54;3;0;4;2;0;0;3;10;2020;5907
Valérie Six;6;28;231;0;0;32;1;0;0;1;0;0;4;11;2020;5907
Valérie Six;7;1;106;0;0;7;1;0;1;0;0;0;2;12;2020;5907
Valérie Six;6;0;134;0;0;3;0;0;1;5;0;0;1;1;2021;5907
Valérie Six;5;23;179;0;0;18;0;0;0;2;0;0;1;2;2021;5907
Valérie Six;28;40;190;0;0;32;6;0;0;0;1;0;2;3;2021;5907
Valérie Six;1;29;34;0;0;1;0;0;0;1;1;0;1;4;2021;5907
Valérie Six;8;12;218;0;0;0;0;0;0;1;0;0;0;5;2021;5907
Valérie Six;7;31;218;0;0;0;0;0;0;0;0;0;0;6;2021;5907
Valérie Six;0;2;3;0;0;0;0;0;0;0;0;0;0;7;2021;5907
Valérie Six;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2021;5907
Valérie Six;3;2;26;0;6;0;0;0;0;0;0;0;3;9;2021;5907
Valérie Six;8;124;349;0;10;0;0;0;0;1;0;0;4;10;2021;5907
Valérie Six;9;23;159;0;3;0;0;1;3;1;0;0;1;11;2021;5907
Valérie Six;2;6;138;0;6;0;0;0;0;0;0;0;3;12;2021;5907
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2017;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2017;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2017;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2017;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2017;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2017;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2017;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2018;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2018;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2018;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2018;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2018;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2018;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2018;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2018;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2018;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2018;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2018;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2018;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2019;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2019;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2019;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2019;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2019;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2019;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2019;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2019;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2019;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2019;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2019;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2019;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2020;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2020;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2020;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2020;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2020;6706
Philippe Meyer;0;0;0;0;0;0;0;0;1;0;0;0;0;6;2020;6706
Philippe Meyer;0;0;8;0;5;0;0;0;0;0;0;0;4;7;2020;6706
Philippe Meyer;0;0;0;0;0;0;0;0;2;0;0;0;0;8;2020;6706
Philippe Meyer;6;1;89;0;4;3;0;0;7;1;1;0;3;9;2020;6706
Philippe Meyer;6;4;156;0;0;7;2;0;6;1;1;0;3;10;2020;6706
Philippe Meyer;3;4;398;0;0;2;0;0;0;1;0;0;1;11;2020;6706
Philippe Meyer;4;4;85;0;0;0;1;0;2;1;0;0;2;12;2020;6706
Philippe Meyer;2;14;299;0;0;6;0;0;2;2;1;0;2;1;2021;6706
Philippe Meyer;6;2;156;0;1;3;4;0;1;1;0;0;3;2;2021;6706
Philippe Meyer;5;30;300;0;0;6;0;0;0;1;1;0;2;3;2021;6706
Philippe Meyer;0;5;6;0;0;17;4;0;0;1;0;0;2;4;2021;6706
Philippe Meyer;7;0;80;0;0;0;0;0;0;1;0;0;0;5;2021;6706
Philippe Meyer;1;0;197;0;0;0;0;0;0;0;0;0;0;6;2021;6706
Philippe Meyer;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2021;6706
Philippe Meyer;0;0;0;0;0;0;0;0;1;0;0;0;0;8;2021;6706
Philippe Meyer;2;0;38;0;0;0;0;0;3;1;0;0;0;9;2021;6706
Philippe Meyer;4;16;192;0;10;0;0;0;0;1;0;0;3;10;2021;6706
Philippe Meyer;4;31;123;0;1;0;0;0;1;1;0;0;1;11;2021;6706
Philippe Meyer;2;3;146;0;3;0;0;0;0;0;0;0;2;12;2021;6706
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2017;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2017;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2017;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2017;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2017;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2017;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2017;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2018;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2018;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2018;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2018;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2018;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2018;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2018;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2018;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2018;9210
Florence Provendier;0;0;1;0;0;0;0;0;0;0;0;0;0;10;2018;9210
Florence Provendier;9;0;18;1;2;1;0;0;0;0;1;0;2;11;2018;9210
Florence Provendier;24;0;33;2;4;0;0;0;2;1;0;0;3;12;2018;9210
Florence Provendier;18;0;44;3;9;0;0;0;1;0;0;0;3;1;2019;9210
Florence Provendier;14;0;48;0;4;0;0;0;3;1;0;0;3;2;2019;9210
Florence Provendier;34;2;88;4;6;0;0;0;3;1;0;0;4;3;2019;9210
Florence Provendier;13;6;16;14;13;0;0;0;2;3;0;0;5;4;2019;9210
Florence Provendier;24;7;105;8;20;11;2;0;2;2;1;0;5;5;2019;9210
Florence Provendier;52;3;163;9;13;1;0;0;1;0;0;0;4;6;2019;9210
Florence Provendier;16;0;22;2;6;3;0;0;2;0;1;0;3;7;2019;9210
Florence Provendier;0;0;4;0;11;0;0;0;0;0;0;0;1;8;2019;9210
Florence Provendier;18;5;54;8;27;4;0;0;1;0;0;0;4;9;2019;9210
Florence Provendier;14;5;52;5;7;3;0;0;2;2;0;0;5;10;2019;9210
Florence Provendier;41;3;106;1;4;2;2;1;3;2;0;0;4;11;2019;9210
Florence Provendier;21;7;99;2;3;6;3;0;2;1;1;0;3;12;2019;9210
Florence Provendier;11;10;41;13;8;10;0;0;2;2;0;0;4;1;2020;9210
Florence Provendier;19;16;90;5;6;1;1;0;1;1;0;0;4;2;2020;9210
Florence Provendier;11;4;23;35;7;0;0;0;0;2;0;0;1;3;2020;9210
Florence Provendier;4;0;17;0;0;0;0;0;0;3;0;0;0;4;2020;9210
Florence Provendier;18;2;81;0;0;3;2;0;2;1;1;0;2;5;2020;9210
Florence Provendier;25;5;165;0;4;2;0;0;3;5;1;0;2;6;2020;9210
Florence Provendier;20;13;88;0;8;7;2;0;2;3;0;0;5;7;2020;9210
Florence Provendier;1;0;2;0;0;0;0;0;0;0;0;0;0;8;2020;9210
Florence Provendier;81;6;175;0;10;6;0;0;3;3;0;0;4;9;2020;9210
Florence Provendier;54;9;268;0;1;3;0;0;2;3;0;0;5;10;2020;9210
Florence Provendier;43;6;130;0;0;3;0;0;0;2;1;0;4;11;2020;9210
Florence Provendier;15;2;35;0;0;2;0;0;3;2;0;0;3;12;2020;9210
Florence Provendier;25;4;147;0;0;2;0;0;4;1;1;0;1;1;2021;9210
Florence Provendier;24;21;72;0;0;16;0;0;0;1;0;1;3;2;2021;9210
Florence Provendier;126;29;570;0;0;19;4;0;0;1;0;0;4;3;2021;9210
Florence Provendier;0;0;36;0;0;2;0;0;0;2;0;0;2;4;2021;9210
Florence Provendier;56;6;97;0;0;0;0;0;0;0;0;0;0;5;2021;9210
Florence Provendier;33;36;139;0;0;0;0;0;0;1;0;0;0;6;2021;9210
Florence Provendier;0;0;2;0;0;0;0;0;0;0;0;0;0;7;2021;9210
Florence Provendier;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2021;9210
Florence Provendier;28;12;39;0;3;0;0;0;0;1;0;1;2;9;2021;9210
Florence Provendier;56;3;166;0;4;0;0;0;0;1;0;0;3;10;2021;9210
Florence Provendier;37;0;82;0;3;0;0;0;0;0;0;0;3;11;2021;9210
Florence Provendier;22;0;53;0;3;0;0;0;1;0;0;0;3;12;2021;9210
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2017;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2017;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2017;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2017;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2017;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2017;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2017;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2018;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2018;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2018;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2018;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2018;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2018;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2018;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2018;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2018;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2018;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2018;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2018;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2019;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2019;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2019;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2019;6206
